ID_DISCENTE;ANO_NASCIMENTO;PERIODO_INGRESSO;PERIODO_LETIVO;CAMPUS;CD_INEP;CURSO;CARGA_HORARIA_CURSO;TURNO;MODALIDADE;COTAS;SEXO;NACIONALIDADE;CIDADE_NAT;UF_NAT;LAT;LON
305139;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;L6;M;BRA;PAULISTA;PE;;
305190;1996;20172;20201;REITOR JOAQUIM AMAZONAS;1136142;SISTEMAS DE INFORMAÇAO;3000;TARDE/NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
305293;1999;20172;20201;REITOR JOAQUIM AMAZONAS;80088;DESIGN;3120;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
305293;1999;20172;20202;REITOR JOAQUIM AMAZONAS;80088;DESIGN;3120;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
305319;1997;20172;20201;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;MANHA;PRESENCIAL;L6;M;BRA;VITORIA DE SANTO ANTAO;PE;;
305319;1997;20172;20202;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;MANHA;PRESENCIAL;L6;M;BRA;VITORIA DE SANTO ANTAO;PE;;
305498;1997;20171;20201;REITOR JOAQUIM AMAZONAS;13582;SECRETARIADO EXECUTIVO;2190;NOITE;PRESENCIAL;L6;F;BRA;LIMOEIRO;PE;;
305672;1986;20171;20201;REITOR JOAQUIM AMAZONAS;23910;ARTES VISUAIS;2910;INTEGRAL;PRESENCIAL;L6;M;BRA;PINDAMONHANGABA;SP;;
305672;1986;20171;20202;REITOR JOAQUIM AMAZONAS;23910;ARTES VISUAIS;2910;INTEGRAL;PRESENCIAL;L6;M;BRA;PINDAMONHANGABA;SP;;
305691;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
305691;1999;20171;20202;REITOR JOAQUIM AMAZONAS;13576;DIREITO;3300;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
305927;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;NOITE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306007;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13574;CIENCIAS ECONOMICA;3000;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
301174;1997;20171;20201;VITORIA;101140;CIENCIAS BIOLOGICAS - CAV;3120;NOITE;PRESENCIAL;L6;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
301174;1997;20171;20202;VITORIA;101140;CIENCIAS BIOLOGICAS - CAV;3120;NOITE;PRESENCIAL;L6;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306236;1997;20171;20201;REITOR JOAQUIM AMAZONAS;13589;FISICA - BACHARELADO;2560;INTEGRAL;PRESENCIAL;L6;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
261559;1994;20171;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;MANHA;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306444;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
306445;1999;20172;20201;REITOR JOAQUIM AMAZONAS;13581;SERVICO SOCIAL;3100;TARDE;PRESENCIAL;AC;F;BRA;GUARABIRA;PB;;
306445;1999;20172;20202;REITOR JOAQUIM AMAZONAS;13581;SERVICO SOCIAL;3100;TARDE;PRESENCIAL;AC;F;BRA;GUARABIRA;PB;;
306462;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306488;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13572;ADMINISTRAÇAO;3030;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
306513;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13575;CIENCIAS SOCIAIS - BACHARELADO;2370;TARDE;PRESENCIAL;L2;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306513;1998;20171;20202;REITOR JOAQUIM AMAZONAS;13575;CIENCIAS SOCIAIS - BACHARELADO;2370;TARDE;PRESENCIAL;L2;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306584;1997;20171;20201;REITOR JOAQUIM AMAZONAS;13581;SERVICO SOCIAL;3100;MANHA;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
306647;1991;20172;20201;REITOR JOAQUIM AMAZONAS;13595;CIENCIA DA COMPUTAÇAO - CIN;3495;INTEGRAL;PRESENCIAL;L5;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306647;1991;20172;20202;REITOR JOAQUIM AMAZONAS;13595;CIENCIA DA COMPUTAÇAO - CIN;3495;INTEGRAL;PRESENCIAL;L5;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306784;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13589;FISICA - BACHARELADO;2560;INTEGRAL;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
306817;1997;20172;20201;REITOR JOAQUIM AMAZONAS;13586;ENGENHARIA MECANICA;3690;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
306817;1997;20172;20202;REITOR JOAQUIM AMAZONAS;13586;ENGENHARIA MECANICA;3690;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
307145;1999;20171;20201;AGRESTE;1321439;COMUNICAÇÃO SOCIAL - CAA;3030;INTEGRAL;PRESENCIAL;L1;F;BRA;GARANHUNS;PE;;
233159;1990;20172;20201;AGRESTE;118100;MATEMATICA - LICENCIATURA - CAA;3000;NOITE;PRESENCIAL;L2;M;BRA;CARUARU;PE;;
307187;1993;20171;20201;AGRESTE;101127;DESIGN - CAA;3210;NOITE;PRESENCIAL;L6;M;PRT;ALGÃ‰S;LI;;
307187;1993;20171;20202;AGRESTE;101127;DESIGN - CAA;3210;NOITE;PRESENCIAL;L6;M;PRT;ALGÃ‰S;LI;;
227713;1990;20171;20201;REITOR JOAQUIM AMAZONAS;20889;CIENCIAS BIOLOGICAS - LICENCIATURA;2655;NOITE;PRESENCIAL;AC;F;BRA;RECIFE;PE;-8.0584933;-34.8848193
307215;1998;20172;20201;REITOR JOAQUIM AMAZONAS;1188497;ENGENHARIA NAVAL;3945;INTEGRAL;PRESENCIAL;AC;M;BRA;RECIFE;PE;-8.0584933;-34.8848193
